,Entity,Code,Day,Human cases with highly pathogenic avian influenza A/H5N1 (monthly),yyyy_mm
0,Africa,,1997-01-01,0,1997-01
1,Africa,,1997-01-02,0,1997-01
2,Africa,,1997-01-03,0,1997-01
3,Africa,,1997-01-04,0,1997-01
4,Africa,,1997-01-05,0,1997-01
5,Africa,,1997-01-06,0,1997-01
6,Africa,,1997-01-07,0,1997-01
7,Africa,,1997-01-08,0,1997-01
8,Africa,,1997-01-09,0,1997-01
9,Africa,,1997-01-10,0,1997-01
10,Africa,,1997-01-11,0,1997-01
11,Africa,,1997-01-12,0,1997-01
12,Africa,,1998-01-01,0,1998-01
13,Africa,,1998-01-02,0,1998-01
14,Africa,,1998-01-03,0,1998-01
15,Africa,,1998-01-04,0,1998-01
16,Africa,,1998-01-05,0,1998-01
17,Africa,,1998-01-06,0,1998-01
18,Africa,,1998-01-07,0,1998-01
19,Africa,,1998-01-08,0,1998-01
20,Africa,,1998-01-09,0,1998-01
21,Africa,,1998-01-10,0,1998-01
22,Africa,,1998-01-11,0,1998-01
23,Africa,,1998-01-12,0,1998-01
24,Africa,,1999-01-01,0,1999-01
25,Africa,,1999-01-02,0,1999-01
26,Africa,,1999-01-03,0,1999-01
27,Africa,,1999-01-04,0,1999-01
28,Africa,,1999-01-05,0,1999-01
29,Africa,,1999-01-06,0,1999-01
30,Africa,,1999-01-07,0,1999-01
31,Africa,,1999-01-08,0,1999-01
32,Africa,,1999-01-09,0,1999-01
33,Africa,,1999-01-10,0,1999-01
34,Africa,,1999-01-11,0,1999-01
35,Africa,,1999-01-12,0,1999-01
36,Africa,,2000-01-01,0,2000-01
37,Africa,,2000-01-02,0,2000-01
38,Africa,,2000-01-03,0,2000-01
39,Africa,,2000-01-04,0,2000-01
40,Africa,,2000-01-05,0,2000-01
41,Africa,,2000-01-06,0,2000-01
42,Africa,,2000-01-07,0,2000-01
43,Africa,,2000-01-08,0,2000-01
44,Africa,,2000-01-09,0,2000-01
45,Africa,,2000-01-10,0,2000-01
46,Africa,,2000-01-11,0,2000-01
47,Africa,,2000-01-12,0,2000-01
48,Africa,,2001-01-01,0,2001-01
49,Africa,,2001-01-02,0,2001-01
50,Africa,,2001-01-03,0,2001-01
51,Africa,,2001-01-04,0,2001-01
52,Africa,,2001-01-05,0,2001-01
53,Africa,,2001-01-06,0,2001-01
54,Africa,,2001-01-07,0,2001-01
55,Africa,,2001-01-08,0,2001-01
56,Africa,,2001-01-09,0,2001-01
57,Africa,,2001-01-10,0,2001-01
58,Africa,,2001-01-11,0,2001-01
59,Africa,,2001-01-12,0,2001-01
60,Africa,,2002-01-01,0,2002-01
61,Africa,,2002-01-02,0,2002-01
62,Africa,,2002-01-03,0,2002-01
63,Africa,,2002-01-04,0,2002-01
64,Africa,,2002-01-05,0,2002-01
65,Africa,,2002-01-06,0,2002-01
66,Africa,,2002-01-07,0,2002-01
67,Africa,,2002-01-08,0,2002-01
68,Africa,,2002-01-09,0,2002-01
69,Africa,,2002-01-10,0,2002-01
70,Africa,,2002-01-11,0,2002-01
71,Africa,,2002-01-12,0,2002-01
72,Africa,,2003-01-01,0,2003-01
73,Africa,,2003-01-02,0,2003-01
74,Africa,,2003-01-03,0,2003-01
75,Africa,,2003-01-04,0,2003-01
76,Africa,,2003-01-05,0,2003-01
77,Africa,,2003-01-06,0,2003-01
78,Africa,,2003-01-07,0,2003-01
79,Africa,,2003-01-08,0,2003-01
80,Africa,,2003-01-09,0,2003-01
81,Africa,,2003-01-10,0,2003-01
82,Africa,,2003-01-11,0,2003-01
83,Africa,,2003-01-12,0,2003-01
84,Africa,,2004-01-01,0,2004-01
85,Africa,,2004-01-02,0,2004-01
86,Africa,,2004-01-03,0,2004-01
87,Africa,,2004-01-04,0,2004-01
88,Africa,,2004-01-05,0,2004-01
89,Africa,,2004-01-06,0,2004-01
90,Africa,,2004-01-07,0,2004-01
91,Africa,,2004-01-08,0,2004-01
92,Africa,,2004-01-09,0,2004-01
93,Africa,,2004-01-10,0,2004-01
94,Africa,,2004-01-11,0,2004-01
95,Africa,,2004-01-12,0,2004-01
96,Africa,,2005-01-01,0,2005-01
97,Africa,,2005-01-02,0,2005-01
98,Africa,,2005-01-03,0,2005-01
99,Africa,,2005-01-04,0,2005-01
100,Africa,,2005-01-05,0,2005-01
101,Africa,,2005-01-06,0,2005-01
102,Africa,,2005-01-07,0,2005-01
103,Africa,,2005-01-08,0,2005-01
104,Africa,,2005-01-09,0,2005-01
105,Africa,,2005-01-10,0,2005-01
106,Africa,,2005-01-11,0,2005-01
107,Africa,,2005-01-12,0,2005-01
108,Africa,,2006-01-01,0,2006-01
109,Africa,,2006-01-02,0,2006-01
110,Africa,,2006-01-03,10,2006-01
111,Africa,,2006-01-04,3,2006-01
112,Africa,,2006-01-05,2,2006-01
113,Africa,,2006-01-06,0,2006-01
114,Africa,,2006-01-07,0,2006-01
115,Africa,,2006-01-08,0,2006-01
116,Africa,,2006-01-09,1,2006-01
117,Africa,,2006-01-10,0,2006-01
118,Africa,,2006-01-11,0,2006-01
119,Africa,,2006-01-12,3,2006-01
120,Africa,,2007-01-01,3,2007-01
121,Africa,,2007-01-02,3,2007-01
122,Africa,,2007-01-03,10,2007-01
123,Africa,,2007-01-04,1,2007-01
124,Africa,,2007-01-05,0,2007-01
125,Africa,,2007-01-06,3,2007-01
126,Africa,,2007-01-07,1,2007-01
127,Africa,,2007-01-08,0,2007-01
128,Africa,,2007-01-09,0,2007-01
129,Africa,,2007-01-10,0,2007-01
130,Africa,,2007-01-11,0,2007-01
131,Africa,,2007-01-12,5,2007-01
132,Africa,,2008-01-01,0,2008-01
133,Africa,,2008-01-02,3,2008-01
134,Africa,,2008-01-03,2,2008-01
135,Africa,,2008-01-04,2,2008-01
136,Africa,,2008-01-05,0,2008-01
137,Africa,,2008-01-06,0,2008-01
138,Africa,,2008-01-07,0,2008-01
139,Africa,,2008-01-08,0,2008-01
140,Africa,,2008-01-09,0,2008-01
141,Africa,,2008-01-10,0,2008-01
142,Africa,,2008-01-11,0,2008-01
143,Africa,,2008-01-12,1,2008-01
144,Africa,,2009-01-01,2,2009-01
145,Africa,,2009-01-02,3,2009-01
146,Africa,,2009-01-03,7,2009-01
147,Africa,,2009-01-04,5,2009-01
148,Africa,,2009-01-05,10,2009-01
149,Africa,,2009-01-06,3,2009-01
150,Africa,,2009-01-07,2,2009-01
151,Africa,,2009-01-08,2,2009-01
152,Africa,,2009-01-09,2,2009-01
153,Africa,,2009-01-10,0,2009-01
154,Africa,,2009-01-11,2,2009-01
155,Africa,,2009-01-12,1,2009-01
156,Africa,,2010-01-01,7,2010-01
157,Africa,,2010-01-02,8,2010-01
158,Africa,,2010-01-03,4,2010-01
159,Africa,,2010-01-04,0,2010-01
160,Africa,,2010-01-05,0,2010-01
161,Africa,,2010-01-06,0,2010-01
162,Africa,,2010-01-07,1,2010-01
163,Africa,,2010-01-08,2,2010-01
164,Africa,,2010-01-09,0,2010-01
165,Africa,,2010-01-10,0,2010-01
166,Africa,,2010-01-11,1,2010-01
167,Africa,,2010-01-12,6,2010-01
168,Africa,,2011-01-01,5,2011-01
169,Africa,,2011-01-02,6,2011-01
170,Africa,,2011-01-03,11,2011-01
171,Africa,,2011-01-04,3,2011-01
172,Africa,,2011-01-05,5,2011-01
173,Africa,,2011-01-06,1,2011-01
174,Africa,,2011-01-07,1,2011-01
175,Africa,,2011-01-08,0,2011-01
176,Africa,,2011-01-09,1,2011-01
177,Africa,,2011-01-10,1,2011-01
178,Africa,,2011-01-11,3,2011-01
179,Africa,,2011-01-12,2,2011-01
180,Africa,,2012-01-01,1,2012-01
181,Africa,,2012-01-02,4,2012-01
182,Africa,,2012-01-03,3,2012-01
183,Africa,,2012-01-04,2,2012-01
184,Africa,,2012-01-05,0,2012-01
185,Africa,,2012-01-06,0,2012-01
186,Africa,,2012-01-07,0,2012-01
187,Africa,,2012-01-08,0,2012-01
188,Africa,,2012-01-09,0,2012-01
189,Africa,,2012-01-10,0,2012-01
190,Africa,,2012-01-11,0,2012-01
191,Africa,,2012-01-12,1,2012-01
192,Africa,,2013-01-01,1,2013-01
193,Africa,,2013-01-02,0,2013-01
194,Africa,,2013-01-03,2,2013-01
195,Africa,,2013-01-04,1,2013-01
196,Africa,,2013-01-05,0,2013-01
197,Africa,,2013-01-06,0,2013-01
198,Africa,,2013-01-07,0,2013-01
199,Africa,,2013-01-08,0,2013-01
200,Africa,,2013-01-09,0,2013-01
201,Africa,,2013-01-10,0,2013-01
202,Africa,,2013-01-11,0,2013-01
203,Africa,,2013-01-12,0,2013-01
204,Africa,,2014-01-01,0,2014-01
205,Africa,,2014-01-02,0,2014-01
206,Africa,,2014-01-03,2,2014-01
207,Africa,,2014-01-04,0,2014-01
208,Africa,,2014-01-05,0,2014-01
209,Africa,,2014-01-06,1,2014-01
210,Africa,,2014-01-07,0,2014-01
211,Africa,,2014-01-08,0,2014-01
212,Africa,,2014-01-09,1,2014-01
213,Africa,,2014-01-10,0,2014-01
214,Africa,,2014-01-11,10,2014-01
215,Africa,,2014-01-12,23,2014-01
216,Africa,,2015-01-01,46,2015-01
217,Africa,,2015-01-02,50,2015-01
218,Africa,,2015-01-03,32,2015-01
219,Africa,,2015-01-04,4,2015-01
220,Africa,,2015-01-05,0,2015-01
221,Africa,,2015-01-06,4,2015-01
222,Africa,,2015-01-07,0,2015-01
223,Africa,,2015-01-08,0,2015-01
224,Africa,,2015-01-09,0,2015-01
225,Africa,,2015-01-10,0,2015-01
226,Africa,,2015-01-11,0,2015-01
227,Africa,,2015-01-12,0,2015-01
228,Africa,,2016-01-01,0,2016-01
229,Africa,,2016-01-02,2,2016-01
230,Africa,,2016-01-03,2,2016-01
231,Africa,,2016-01-04,0,2016-01
232,Africa,,2016-01-05,3,2016-01
233,Africa,,2016-01-06,2,2016-01
234,Africa,,2016-01-07,1,2016-01
235,Africa,,2016-01-08,0,2016-01
236,Africa,,2016-01-09,0,2016-01
237,Africa,,2016-01-10,0,2016-01
238,Africa,,2016-01-11,0,2016-01
239,Africa,,2016-01-12,0,2016-01
240,Africa,,2017-01-01,0,2017-01
241,Africa,,2017-01-02,2,2017-01
