,date,price_per_galon
0,1978-01,0.631
1,1978-02,0.629
2,1978-03,0.629
3,1978-04,0.631
4,1978-05,0.637
5,1978-06,0.645
6,1978-07,0.655
7,1978-08,0.663
8,1978-09,0.669
9,1978-10,0.671
10,1978-11,0.676
11,1978-12,0.685
12,1979-01,0.695
13,1979-02,0.707
14,1979-03,0.733
15,1979-04,0.78
16,1979-05,0.823
17,1979-06,0.88
18,1979-07,0.93
19,1979-08,0.967
20,1979-09,0.998
21,1979-10,1.006
22,1979-11,1.019
23,1979-12,1.042
24,1980-01,1.11
25,1980-02,1.186
26,1980-03,1.23
27,1980-04,1.242
28,1980-05,1.244
29,1980-06,1.246
30,1980-07,1.247
31,1980-08,1.243
32,1980-09,1.231
33,1980-10,1.223
34,1980-11,1.222
35,1980-12,1.231
36,1981-01,1.269
37,1981-02,1.353
38,1981-03,1.388
39,1981-04,1.381
40,1981-05,1.37
41,1981-06,1.362
42,1981-07,1.353
43,1981-08,1.348
44,1981-09,1.358
45,1981-10,1.353
46,1981-11,1.351
47,1981-12,1.348
48,1982-01,1.341
49,1982-02,1.318
50,1982-03,1.268
51,1982-04,1.21
52,1982-05,1.224
53,1982-06,1.296
54,1982-07,1.318
55,1982-08,1.31
56,1982-09,1.292
57,1982-10,1.28
58,1982-11,1.268
59,1982-12,1.244
60,1983-01,1.214
61,1983-02,1.17
62,1983-03,1.135
63,1983-04,1.198
64,1983-05,1.243
65,1983-06,1.261
66,1983-07,1.272
67,1983-08,1.269
68,1983-09,1.257
69,1983-10,1.239
70,1983-11,1.224
71,1983-12,1.215
72,1984-01,1.2
73,1984-02,1.193
74,1984-03,1.194
75,1984-04,1.211
76,1984-05,1.221
77,1984-06,1.214
78,1984-07,1.197
79,1984-08,1.184
80,1984-09,1.189
81,1984-10,1.195
82,1984-11,1.193
83,1984-12,1.179
84,1985-01,1.145
85,1985-02,1.128
86,1985-03,1.155
87,1985-04,1.199
88,1985-05,1.223
89,1985-06,1.233
90,1985-07,1.233
91,1985-08,1.222
92,1985-09,1.209
93,1985-10,1.198
94,1985-11,1.201
95,1985-12,1.203
96,1986-01,1.19
97,1986-02,1.119
98,1986-03,0.983
99,1986-04,0.895
100,1986-05,0.927
101,1986-06,0.958
102,1986-07,0.895
103,1986-08,0.848
104,1986-09,0.864
105,1986-10,0.837
106,1986-11,0.827
107,1986-12,0.83
108,1987-01,0.868
109,1987-02,0.911
110,1987-03,0.918
111,1987-04,0.94
112,1987-05,0.948
113,1987-06,0.966
114,1987-07,0.98
115,1987-08,1.004
116,1987-09,1.0
117,1987-10,0.988
118,1987-11,0.987
119,1987-12,0.975
120,1988-01,0.947
121,1988-02,0.928
122,1988-03,0.92
123,1988-04,0.946
124,1988-05,0.97
125,1988-06,0.971
126,1988-07,0.984
127,1988-08,1.004
128,1988-09,0.992
129,1988-10,0.976
130,1988-11,0.972
131,1988-12,0.953
132,1989-01,0.944
133,1989-02,0.955
134,1989-03,0.974
135,1989-04,1.098
136,1989-05,1.152
137,1989-06,1.15
138,1989-07,1.132
139,1989-08,1.096
140,1989-09,1.073
141,1989-10,1.071
142,1989-11,1.046
143,1989-12,1.03
144,1990-01,1.09
145,1990-02,1.086
146,1990-03,1.076
147,1990-04,1.096
148,1990-05,1.114
149,1990-06,1.14
150,1990-07,1.139
151,1990-08,1.246
152,1990-09,1.347
153,1990-10,1.431
154,1990-11,1.432
155,1990-12,1.41
156,1991-01,1.304
157,1991-02,1.198
158,1991-03,1.138
159,1991-04,1.159
160,1991-05,1.209
161,1991-06,1.214
162,1991-07,1.185
163,1991-08,1.196
164,1991-09,1.199
165,1991-10,1.18
166,1991-11,1.193
167,1991-12,1.182
168,1992-01,1.135
169,1992-02,1.117
170,1992-03,1.122
171,1992-04,1.143
172,1992-05,1.197
173,1992-06,1.239
174,1992-07,1.237
175,1992-08,1.221
176,1992-09,1.222
177,1992-10,1.219
178,1992-11,1.223
179,1992-12,1.201
180,1993-01,1.182
181,1993-02,1.172
182,1993-03,1.163
183,1993-04,1.175
184,1993-05,1.193
185,1993-06,1.194
186,1993-07,1.174
187,1993-08,1.163
188,1993-09,1.151
189,1993-10,1.193
190,1993-11,1.178
191,1993-12,1.136
192,1994-01,1.109
193,1994-02,1.114
194,1994-03,1.109
195,1994-04,1.128
196,1994-05,1.143
197,1994-06,1.169
198,1994-07,1.199
199,1994-08,1.243
200,1994-09,1.237
201,1994-10,1.212
202,1994-11,1.222
203,1994-12,1.203
204,1995-01,1.19
205,1995-02,1.181
206,1995-03,1.173
207,1995-04,1.197
208,1995-05,1.256
209,1995-06,1.281
210,1995-07,1.252
211,1995-08,1.222
212,1995-09,1.206
213,1995-10,1.185
214,1995-11,1.161
215,1995-12,1.16
216,1996-01,1.186
217,1996-02,1.181
218,1996-03,1.219
219,1996-04,1.305
220,1996-05,1.378
221,1996-06,1.354
222,1996-07,1.328
223,1996-08,1.298
224,1996-09,1.293
225,1996-10,1.287
226,1996-11,1.308
227,1996-12,1.318
228,1997-01,1.318
229,1997-02,1.312
230,1997-03,1.293
231,1997-04,1.288
232,1997-05,1.284
233,1997-06,1.286
234,1997-07,1.263
235,1997-08,1.31
236,1997-09,1.334
237,1997-10,1.3
238,1997-11,1.271
239,1997-12,1.236
240,1998-01,1.186
241,1998-02,1.137
242,1998-03,1.097
243,1998-04,1.106
244,1998-05,1.146
245,1998-06,1.148
246,1998-07,1.134
247,1998-08,1.108
248,1998-09,1.091
249,1998-10,1.099
250,1998-11,1.086
251,1998-12,1.046
252,1999-01,1.031
253,1999-02,1.014
254,1999-03,1.048
255,1999-04,1.232
256,1999-05,1.233
257,1999-06,1.204
258,1999-07,1.244
259,1999-08,1.309
260,1999-09,1.334
261,1999-10,1.329
262,1999-11,1.319
263,1999-12,1.353
264,2000-01,1.356
265,2000-02,1.422
266,2000-03,1.594
267,2000-04,1.561
268,2000-05,1.552
269,2000-06,1.666
270,2000-07,1.642
271,2000-08,1.559
272,2000-09,1.635
273,2000-10,1.613
274,2000-11,1.608
275,2000-12,1.544
276,2001-01,1.525
277,2001-02,1.538
278,2001-03,1.503
279,2001-04,1.617
280,2001-05,1.812
281,2001-06,1.731
282,2001-07,1.565
283,2001-08,1.509
284,2001-09,1.609
285,2001-10,1.442
286,2001-11,1.324
287,2001-12,1.2
288,2002-01,1.209
289,2002-02,1.21
290,2002-03,1.324
291,2002-04,1.493
292,2002-05,1.508
293,2002-06,1.489
294,2002-07,1.496
295,2002-08,1.508
296,2002-09,1.507
297,2002-10,1.535
298,2002-11,1.534
299,2002-12,1.477
300,2003-01,1.557
301,2003-02,1.686
302,2003-03,1.791
303,2003-04,1.704
304,2003-05,1.587
305,2003-06,1.558
306,2003-07,1.567
307,2003-08,1.671
308,2003-09,1.771
309,2003-10,1.646
310,2003-11,1.578
311,2003-12,1.538
312,2004-01,1.635
313,2004-02,1.715
314,2004-03,1.809
315,2004-04,1.875
316,2004-05,2.05
317,2004-06,2.083
318,2004-07,1.982
319,2004-08,1.941
320,2004-09,1.934
321,2004-10,2.072
322,2004-11,2.053
323,2004-12,1.926
324,2005-01,1.866
325,2005-02,1.96
326,2005-03,2.107
327,2005-04,2.325
328,2005-05,2.257
329,2005-06,2.218
330,2005-07,2.357
331,2005-08,2.548
332,2005-09,2.969
333,2005-10,2.83
334,2005-11,2.387
335,2005-12,2.23
336,2006-01,2.359
337,2006-02,2.354
338,2006-03,2.444
339,2006-04,2.801
340,2006-05,2.993
341,2006-06,2.963
342,2006-07,3.046
343,2006-08,3.033
344,2006-09,2.637
345,2006-10,2.319
346,2006-11,2.287
347,2006-12,2.38
348,2007-01,2.321
349,2007-02,2.333
350,2007-03,2.639
351,2007-04,2.909
352,2007-05,3.176
353,2007-06,3.1
354,2007-07,3.013
355,2007-08,2.833
356,2007-09,2.839
357,2007-10,2.843
358,2007-11,3.118
359,2007-12,3.069
360,2008-01,3.096
361,2008-02,3.083
362,2008-03,3.307
363,2008-04,3.491
364,2008-05,3.813
365,2008-06,4.115
366,2008-07,4.142
367,2008-08,3.838
368,2008-09,3.749
369,2008-10,3.225
370,2008-11,2.208
371,2008-12,1.742
372,2009-01,1.838
373,2009-02,1.979
374,2009-03,2.0
375,2009-04,2.107
376,2009-05,2.314
377,2009-06,2.681
378,2009-07,2.594
379,2009-08,2.677
380,2009-09,2.626
381,2009-10,2.613
382,2009-11,2.709
383,2009-12,2.671
384,2010-01,2.779
385,2010-02,2.709
386,2010-03,2.829
387,2010-04,2.906
388,2010-05,2.915
389,2010-06,2.783
390,2010-07,2.783
391,2010-08,2.795
392,2010-09,2.754
393,2010-10,2.843
394,2010-11,2.899
395,2010-12,3.031
396,2011-01,3.139
397,2011-02,3.215
398,2011-03,3.594
399,2011-04,3.863
