,name,disaster_type,date,cpi_adjusted_cost,unadjusted_cost,deaths
0,Southern Severe Storms and Flooding (April 1980),Flooding,1980-04,2749.39990234375,706.7999877929688,7.0
1,Hurricane Allen (August 1980),Tropical Cyclone,1980-08,2236.199951171875,590.0,13.0
2,Central/Eastern Drought/Heat Wave (Summer-Fall 1980),Drought,1980-06,6780.199869791667,1670.0,210.0
3,Central/Eastern Drought/Heat Wave (Summer-Fall 1980),Drought,1980-07,6780.199869791667,1670.0,210.0
4,Central/Eastern Drought/Heat Wave (Summer-Fall 1980),Drought,1980-08,6780.199869791667,1670.0,210.0
5,Central/Eastern Drought/Heat Wave (Summer-Fall 1980),Drought,1980-09,6780.199869791667,1670.0,210.0
6,Central/Eastern Drought/Heat Wave (Summer-Fall 1980),Drought,1980-10,6780.199869791667,1670.0,210.0
7,Central/Eastern Drought/Heat Wave (Summer-Fall 1980),Drought,1980-11,6780.199869791667,1670.0,210.0
8,Florida Freeze (January 1981),Freeze,1981-01,2076.39990234375,572.0,0.0
9,"Severe Storms, Flash Floods, Hail, Tornadoes (May 1981)",Severe Storm,1981-05,1409.0999755859375,401.3999938964844,20.0
10,"Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)",Winter Storm,1982-01,2217.800048828125,662.0,85.0
11,Midwest/Plains/Southeast Tornadoes (April 1982),Severe Storm,1982-04,1604.0,483.20001220703125,33.0
12,Severe Storms (June 1982),Severe Storm,1982-05,789.5,239.9499969482422,15.0
13,Severe Storms (June 1982),Severe Storm,1982-06,789.5,239.9499969482422,15.0
14,Gulf States Storms and Flooding (December 1982-January 1983),Flooding,1982-12,2473.10009765625,768.0499877929688,22.5
15,Gulf States Storms and Flooding (December 1982-January 1983),Flooding,1983-01,2473.10009765625,768.0499877929688,22.5
16,Western Storms and Flooding (December 1982-March 1983),Flooding,1982-12,1207.175048828125,374.8999938964844,12.5
17,Western Storms and Flooding (December 1982-March 1983),Flooding,1983-01,1207.175048828125,374.8999938964844,12.5
18,Western Storms and Flooding (December 1982-March 1983),Flooding,1983-02,1207.175048828125,374.8999938964844,12.5
19,Western Storms and Flooding (December 1982-March 1983),Flooding,1983-03,1207.175048828125,374.8999938964844,12.5
20,Hurricane Alicia (August 1983),Tropical Cyclone,1983-08,9450.0,3000.0,21.0
21,Southeast Drought (Summer 1983),Drought,1983-06,3191.3333333333335,988.0333658854166,0.0
22,Southeast Drought (Summer 1983),Drought,1983-07,3191.3333333333335,988.0333658854166,0.0
23,Southeast Drought (Summer 1983),Drought,1983-08,3191.3333333333335,988.0333658854166,0.0
24,Arizona Flooding (October 1983),Flooding,1983-09,626.0,200.0,7.0
25,Arizona Flooding (October 1983),Flooding,1983-10,626.0,200.0,7.0
26,Freeze/Cold Wave (December 1983),Freeze,1983-12,6479.5,2005.800048828125,151.0
27,"Tornadoes, Severe Storms, Floods (Spring 1984)",Severe Storm,1984-03,925.7999877929688,301.54998779296875,40.0
28,"Tornadoes, Severe Storms, Floods (Spring 1984)",Severe Storm,1984-04,925.7999877929688,301.54998779296875,40.0
29,Severe Storms and Hail (June 1984),Severe Storm,1984-06,1356.4000244140625,446.20001220703125,1.0
30,Florida Freeze (January 1985),Freeze,1985-01,3588.0,1200.0,0.0
31,"Winter Storm, Cold Wave (January 1985)",Winter Storm,1985-01,2502.39990234375,836.9000244140625,150.0
32,Ohio and Pennsylvania Tornado Outbreak (June 1985),Severe Storm,1985-05,1758.0999755859375,600.0,89.0
33,Hurricane Elena (September 1985),Tropical Cyclone,1985-08,1894.199951171875,648.7000122070312,2.0
34,Hurricane Elena (September 1985),Tropical Cyclone,1985-09,1894.199951171875,648.7000122070312,2.0
35,Hurricane Gloria (September 1985),Tropical Cyclone,1985-09,2491.300048828125,856.0999755859375,11.0
36,Hurricane Juan (October 1985),Tropical Cyclone,1985-10,4340.39990234375,1496.699951171875,63.0
37,"Virginia, West Virginia, Pennsylvania and Maryland Flooding (November 1985)",Flooding,1985-11,4046.0,1400.0,62.0
38,Western Severe Storms and Flooding (February 1986),Severe Storm,1986-02,1531.0999755859375,529.7999877929688,13.0
39,Southeast Drought/Heat Wave (Summer 1986),Drought,1986-06,1731.5,601.1999918619791,33.333333333333336
40,Southeast Drought/Heat Wave (Summer 1986),Drought,1986-07,1731.5,601.1999918619791,33.333333333333336
41,Southeast Drought/Heat Wave (Summer 1986),Drought,1986-08,1731.5,601.1999918619791,33.333333333333336
42,Michigan Flooding (September 1986),Flooding,1986-09,1144.0,400.0,10.0
43,U.S. Drought/Heat Wave (Summer 1988),Drought,1988-06,18203.466145833332,6667.93359375,151.33333333333334
44,U.S. Drought/Heat Wave (Summer 1988),Drought,1988-07,18203.466145833332,6667.93359375,151.33333333333334
45,U.S. Drought/Heat Wave (Summer 1988),Drought,1988-08,18203.466145833332,6667.93359375,151.33333333333334
46,Southern Derecho and Severe Storms (May 1989),Severe Storm,1989-05,1406.300048828125,551.5,21.0
47,Tropical Storm Allison (June 1989),Tropical Cyclone,1989-06,1485.9000244140625,585.0,11.0
