,date,us_human_outbreaks_cnt,us_human_illnesses_cnt
0,1971-02,1,2
1,1971-06,5,306
2,1971-07,4,3777
3,1971-08,3,83
4,1971-09,2,40
5,1971-11,4,892
6,1971-12,1,84
7,1972-03,2,421
8,1972-04,3,169
9,1972-05,8,265
10,1972-06,4,246
11,1972-07,2,17
12,1972-08,2,18
13,1972-09,4,143
14,1972-10,1,50
15,1972-11,3,309
16,1972-12,1,12
17,1973-02,2,260
18,1973-03,1,2
19,1973-04,1,2
20,1973-06,5,145
21,1973-07,6,365
22,1973-08,6,372
23,1973-09,1,153
24,1973-10,1,194
25,1973-11,1,32
26,1973-12,3,259
27,1974-01,2,1257
28,1974-02,1,18
29,1974-03,1,9
30,1974-04,1,213
31,1974-06,3,101
32,1974-07,4,129
33,1974-08,5,1111
34,1974-09,4,83
35,1974-10,1,18
36,1974-11,1,4800
37,1974-12,1,615
38,1975-01,1,390
39,1975-02,1,17
40,1975-03,1,550
41,1975-04,2,1750
42,1975-05,3,246
43,1975-06,5,2540
44,1975-07,3,147
45,1975-08,5,5119
46,1975-09,3,46
47,1975-10,2,107
48,1976-02,2,162
49,1976-03,2,763
50,1976-04,3,99
51,1976-05,5,751
52,1976-06,7,502
53,1976-07,9,2588
54,1976-08,2,35
55,1976-10,2,128
56,1976-11,3,125
57,1976-12,1,110
58,1977-01,3,100
59,1977-03,1,74
60,1977-04,2,760
61,1977-05,7,398
62,1977-06,3,36
63,1977-07,12,1405
64,1977-08,4,283
65,1977-09,1,12
66,1977-10,2,503
67,1977-11,2,15
68,1978-02,2,112
69,1978-03,1,5000
70,1978-04,1,50
71,1978-05,6,4624
72,1978-06,2,449
73,1978-07,9,613
74,1978-08,7,300
75,1978-09,4,229
76,1978-10,3,15
77,1978-11,5,403
78,1978-12,1,27
79,1979-01,1,8
80,1979-02,2,147
81,1979-03,4,747
82,1979-04,5,206
83,1979-05,1,6
84,1979-06,7,2210
85,1979-07,14,1392
86,1979-08,4,89
87,1979-09,6,99
88,1979-10,6,5056
89,1979-11,1,26
90,1979-12,4,347
91,1980-01,4,277
92,1980-03,6,657
93,1980-04,3,48
94,1980-05,5,282
95,1980-06,9,10016
96,1980-07,17,3378
97,1980-08,9,2511
98,1980-09,7,1335
99,1980-10,1,30
100,1980-11,3,76
101,1980-12,4,2112
102,1981-01,1,460
103,1981-02,2,357
104,1981-03,4,1944
105,1981-04,4,115
106,1981-05,3,60
107,1981-06,3,348
108,1981-07,5,416
109,1981-08,9,1441
110,1981-09,3,59
111,1981-10,5,79
112,1981-11,2,47
113,1981-12,2,32
114,1982-01,12,765
115,1982-02,5,72
116,1982-03,5,141
117,1982-04,9,288
118,1982-05,7,666
119,1982-06,5,577
120,1982-07,9,751
121,1982-08,8,669
122,1982-09,3,106
123,1982-10,6,151
124,1982-11,2,93
125,1982-12,2,82
