,date,population_million
0,2025-02,341.2699890136719
1,2025-01,341.1499938964844
2,2024-12,341.0
3,2024-11,340.8399963378906
4,2024-10,340.6700134277344
5,2024-09,340.489990234375
6,2024-08,340.2900085449219
7,2024-07,340.1099853515625
8,2024-06,339.82000732421875
9,2024-05,339.5400085449219
10,2024-04,339.2699890136719
11,2024-03,339.0
12,2024-02,338.739990234375
13,2024-01,338.510009765625
14,2023-12,338.260009765625
15,2023-11,337.989990234375
16,2023-10,337.70001220703125
17,2023-09,337.4100036621094
18,2023-08,337.1000061035156
19,2023-07,336.80999755859375
20,2023-06,336.54998779296875
21,2023-05,336.32000732421875
22,2023-04,336.1000061035156
23,2023-03,335.8800048828125
24,2023-02,335.6600036621094
25,2023-01,335.4599914550781
26,2022-12,335.25
27,2022-11,335.0199890136719
28,2022-10,334.7900085449219
29,2022-09,334.5400085449219
30,2022-08,334.2699890136719
31,2022-07,334.0199890136719
32,2022-06,333.82000732421875
33,2022-05,333.6300048828125
34,2022-04,333.45001220703125
35,2022-03,333.2699890136719
36,2022-02,333.1400146484375
37,2022-01,333.0799865722656
38,2021-12,332.94000244140625
39,2021-11,332.7900085449219
40,2021-10,332.6300048828125
41,2021-09,332.4800109863281
42,2021-08,332.30999755859375
43,2021-07,332.1000061035156
44,2021-06,332.0
45,2021-05,331.92999267578125
46,2021-04,331.8599853515625
47,2021-03,331.79998779296875
48,2021-02,331.7799987792969
49,2021-01,331.8500061035156
50,2020-12,331.8900146484375
51,2020-11,331.8800048828125
52,2020-10,331.80999755859375
53,2020-09,331.7300109863281
54,2020-08,331.6499938964844
55,2020-07,331.5799865722656
56,2020-06,331.5199890136719
57,2020-05,331.489990234375
58,2020-04,331.5199890136719
59,2020-03,329.3399963378906
60,2020-02,329.239990234375
61,2020-01,329.1400146484375
62,2019-12,329.0199890136719
63,2019-11,328.8900146484375
64,2019-10,328.739990234375
65,2019-09,328.5799865722656
66,2019-08,328.4100036621094
67,2019-07,328.239990234375
68,2019-06,328.1000061035156
69,2019-05,327.9599914550781
70,2019-04,327.8399963378906
71,2019-03,327.7300109863281
72,2019-02,327.6400146484375
73,2019-01,327.5400085449219
74,2018-12,327.42999267578125
75,2018-11,327.30999755859375
76,2018-10,327.1700134277344
77,2018-09,327.010009765625
78,2018-08,326.8500061035156
79,2018-07,326.69000244140625
80,2018-06,326.5299987792969
81,2018-05,326.3900146484375
82,2018-04,326.260009765625
83,2018-03,326.1400146484375
84,2018-02,326.0299987792969
85,2018-01,325.92999267578125
86,2017-12,325.79998779296875
87,2017-11,325.6600036621094
88,2017-10,325.510009765625
89,2017-09,325.3399963378906
90,2017-08,325.1600036621094
91,2017-07,324.989990234375
92,2017-06,324.79998779296875
93,2017-05,324.6400146484375
94,2017-04,324.4800109863281
95,2017-03,324.3399963378906
96,2017-02,324.2099914550781
97,2017-01,324.0799865722656
98,2016-12,323.9100036621094
99,2016-11,323.739990234375
100,2016-10,323.55999755859375
101,2016-09,323.3500061035156
102,2016-08,323.1400146484375
103,2016-07,322.94000244140625
104,2016-06,322.7300109863281
105,2016-05,322.54998779296875
106,2016-04,322.3699951171875
107,2016-03,322.20001220703125
108,2016-02,322.0400085449219
109,2016-01,321.8599853515625
110,2015-12,321.7099914550781
111,2015-11,321.5
112,2015-10,321.30999755859375
113,2015-09,321.0799865722656
114,2015-08,320.8599853515625
115,2015-07,320.6400146484375
116,2015-06,320.42999267578125
117,2015-05,320.239990234375
118,2015-04,320.05999755859375
119,2015-03,319.8900146484375
120,2015-02,319.7300109863281
121,2015-01,319.5899963378906
122,2014-12,319.4100036621094
123,2014-11,319.2200012207031
124,2014-10,319.010009765625
125,2014-09,318.7699890136719
126,2014-08,318.5400085449219
127,2014-07,318.29998779296875
128,2014-06,318.1099853515625
129,2014-05,317.9100036621094
130,2014-04,317.7300109863281
131,2014-03,317.55999755859375
132,2014-02,317.4100036621094
133,2014-01,317.239990234375
134,2013-12,317.05999755859375
135,2013-11,316.8800048828125
136,2013-10,316.6600036621094
137,2013-09,316.42999267578125
138,2013-08,316.20001220703125
139,2013-07,315.989990234375
140,2013-06,315.80999755859375
141,2013-05,315.6099853515625
142,2013-04,315.4599914550781
143,2013-03,315.29998779296875
144,2013-02,315.1600036621094
145,2013-01,315.0400085449219
146,2012-12,314.8699951171875
147,2012-11,314.70001220703125
148,2012-10,314.5
149,2012-09,314.2799987792969
150,2012-08,314.04998779296875
151,2012-07,313.8299865722656
152,2012-06,313.6300048828125
153,2012-05,313.45001220703125
154,2012-04,313.2799987792969
155,2012-03,313.1099853515625
156,2012-02,312.92999267578125
157,2012-01,312.7900085449219
158,2011-12,312.5899963378906
159,2011-11,312.3999938964844
160,2011-10,312.2099914550781
161,2011-09,312.0
162,2011-08,311.760009765625
163,2011-07,311.55999755859375
164,2011-06,311.3500061035156
165,2011-05,311.17999267578125
166,2011-04,311.010009765625
167,2011-03,310.8299865722656
168,2011-02,310.69000244140625
169,2011-01,310.5400085449219
170,2010-12,310.3500061035156
171,2010-11,310.1700134277344
172,2010-10,309.989990234375
173,2010-09,309.760009765625
174,2010-08,309.5400085449219
175,2010-07,309.32000732421875
176,2010-06,309.1199951171875
177,2010-05,308.94000244140625
178,2010-04,308.760009765625
179,2010-03,308.57000732421875
180,2010-02,308.3800048828125
181,2010-01,308.1700134277344
182,2009-12,307.95001220703125
183,2009-11,307.760009765625
184,2009-10,307.5199890136719
185,2009-09,307.2699890136719
186,2009-08,307.010009765625
187,2009-07,306.7699890136719
188,2009-06,306.5400085449219
189,2009-05,306.32000732421875
190,2009-04,306.1099853515625
191,2009-03,305.9200134277344
192,2009-02,305.7099914550781
193,2009-01,305.5199890136719
194,2008-12,305.29998779296875
195,2008-11,305.0899963378906
196,2008-10,304.8599853515625
197,2008-09,304.6099853515625
198,2008-08,304.3599853515625
199,2008-07,304.0899963378906
200,2008-06,303.8500061035156
201,2008-05,303.6199951171875
202,2008-04,303.3800048828125
203,2008-03,303.19000244140625
204,2008-02,302.9700012207031
205,2008-01,302.75
206,2007-12,302.5299987792969
207,2007-11,302.2900085449219
208,2007-10,302.0299987792969
209,2007-09,301.7699890136719
210,2007-08,301.5
211,2007-07,301.2300109863281
212,2007-06,300.9700012207031
213,2007-05,300.7300109863281
214,2007-04,300.510009765625
215,2007-03,300.2900085449219
216,2007-02,300.1000061035156
217,2007-01,299.8900146484375
218,2006-12,299.6600036621094
219,2006-11,299.3999938964844
220,2006-10,299.1600036621094
221,2006-09,298.9100036621094
222,2006-08,298.6300048828125
223,2006-07,298.3800048828125
224,2006-06,298.1199951171875
225,2006-05,297.8699951171875
226,2006-04,297.6499938964844
227,2006-03,297.4200134277344
228,2006-02,297.2200012207031
229,2006-01,296.989990234375
230,2005-12,296.760009765625
231,2005-11,296.510009765625
232,2005-10,296.30999755859375
233,2005-09,296.0400085449219
