,FullGeoName,FIPS Codes,County Name,State,Outbreak Date,Flock Type,Flock Size,State Count,Outbreaks,Counties,yyyy_mm,Flock_Count,Total_Flock_Size
0,"MI, Jackson",26075,Jackson,Michigan,2024-12-31,WOAH Non-Poultry,9,1,1,1,2024-12,82,17.409808801511236
1,"CA, Riverside",6065,Riverside,California,2024-12-31,Commercial Table Egg Layer; WOAH Non-Poultry; WOAH Poultry; Commercial Table Egg Pullets,1503370,1,5,1,2024-12,82,17.409808801511236
2,"CA, Butte",6007,Butte,California,2024-12-31,WOAH Non-Poultry; Commercial Raised for Release Upland Game Bird,45890,0,4,1,2024-12,82,17.409808801511236
3,"SD, Miner",46097,Miner,South Dakota,2024-12-31,WOAH Poultry,1500,1,1,1,2024-12,82,17.409808801511236
4,"MI, Ottawa",26139,Ottawa,Michigan,2024-12-31,Commercial Turkey Meat Bird,447700,0,7,1,2024-12,82,17.409808801511236
5,"SC, Spartanburg",45083,Spartanburg,South Carolina,2024-12-31,Commercial Upland Gamebird Producer,920,1,1,1,2024-12,82,17.409808801511236
6,"ID, Twin Falls",16083,Twin Falls,Idaho,2024-12-30,WOAH Non-Poultry,120,1,4,1,2024-12,82,17.409808801511236
7,"TN, Tipton",47167,Tipton,Tennessee,2024-12-30,WOAH Non-Poultry,100,1,2,1,2024-12,82,17.409808801511236
8,"MS, Copiah",28029,Copiah,Mississippi,2024-12-30,Commercial Broiler Production; WOAH Poultry,210050,1,2,1,2024-12,82,17.409808801511236
9,"NE, Johnson",31097,Johnson,Nebraska,2024-12-30,Commercial Broiler Production,209100,1,1,1,2024-12,82,17.409808801511236
10,"AR, Clay",5021,Clay,Arkansas,2024-12-30,Commercial Broiler Production,227500,1,1,1,2024-12,82,17.409808801511236
11,"SD, Edmunds",46045,Edmunds,South Dakota,2023-12-30,Commercial Upland Gamebird Producer; Commercial Turkey Meat Bird; Commercial Turkey Breeder Replacement Hens; Commercial Turkey Breeder Hens,289700,0,13,1,2023-12,44,16.75101659908424
12,"MI, Sanilac",26151,Sanilac,Michigan,2022-12-30,WOAH Non-Poultry,30,0,1,1,2022-12,45,17.00911882999563
13,"WA, Snohomish",53061,Snohomish,Washington,2022-12-30,WOAH Poultry; WOAH Non-Poultry,1169,1,10,1,2022-12,45,17.00911882999563
