,yyyy_mm,Total_Flock_Size
0,2022-02,348550
1,2022-03,9988239
2,2022-04,863435
3,2022-05,189266
4,2022-06,27343
5,2022-07,140
6,2022-08,402
7,2022-09,9949982
8,2022-10,320179
9,2022-11,11116813
10,2022-12,24376225
11,2023-01,23900
12,2023-02,109789
13,2023-03,72858
14,2023-04,67680
15,2023-05,232
16,2023-08,3260
17,2023-09,520
18,2023-10,2200783
19,2023-11,7356194
20,2023-12,18831030
21,2024-01,42050
22,2024-02,314779
23,2024-03,500
24,2024-04,2108220
25,2024-05,6554260
26,2024-06,281840
27,2024-07,91805
28,2024-09,4501
29,2024-10,3363136
30,2024-11,6189655
31,2024-12,36390154
32,2025-01,7100923
33,2025-02,14512525
