latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.597538,-86.18106,242.0,-28800,America/Los_Angeles,GMT-8

time,temperature_2m_mean (°F)
1980-01-01,28.3
1980-01-02,28.9
1980-01-03,29.0
1980-01-04,26.8
1980-01-05,24.9
1980-01-06,28.6
1980-01-07,19.1
1980-01-08,16.6
1980-01-09,20.1
1980-01-10,35.2
1980-01-11,38.2
1980-01-12,20.3
1980-01-13,34.9
1980-01-14,34.0
1980-01-15,36.0
1980-01-16,45.5
1980-01-17,40.0
1980-01-18,32.2
1980-01-19,30.3
1980-01-20,27.9
1980-01-21,29.8
1980-01-22,30.5
1980-01-23,14.9
1980-01-24,26.2
1980-01-25,30.2
1980-01-26,22.1
1980-01-27,18.6
1980-01-28,13.0
1980-01-29,11.1
1980-01-30,16.9
1980-01-31,13.2
1980-02-01,14.7
1980-02-02,16.2
1980-02-03,17.2
1980-02-04,18.0
1980-02-05,24.3
1980-02-06,21.9
1980-02-07,15.2
1980-02-08,21.7
1980-02-09,22.5
1980-02-10,19.7
1980-02-11,18.5
1980-02-12,15.5
1980-02-13,23.7
1980-02-14,32.2
1980-02-15,29.5
1980-02-16,10.8
1980-02-17,1.3
1980-02-18,19.5
1980-02-19,33.6
1980-02-20,35.0
1980-02-21,41.1
1980-02-22,41.4
1980-02-23,36.8
1980-02-24,32.0
1980-02-25,22.3
1980-02-26,11.6
1980-02-27,21.7
1980-02-28,17.0
1980-02-29,2.9
1980-03-01,5.0
1980-03-02,-2.1
1980-03-03,16.7
1980-03-04,33.7
1980-03-05,27.8
1980-03-06,24.0
1980-03-07,31.7
1980-03-08,31.6
1980-03-09,35.4
1980-03-10,36.7
1980-03-11,23.9
1980-03-12,26.9
1980-03-13,31.4
1980-03-14,31.6
1980-03-15,42.3
1980-03-16,49.7
1980-03-17,40.8
1980-03-18,35.4
1980-03-19,43.0
1980-03-20,46.4
1980-03-21,36.4
1980-03-22,34.1
1980-03-23,42.2
1980-03-24,41.7
1980-03-25,34.1
1980-03-26,37.0
1980-03-27,43.1
1980-03-28,43.3
1980-03-29,43.2
1980-03-30,41.0
1980-03-31,41.3
1980-04-01,43.4
1980-04-02,47.3
1980-04-03,51.6
1980-04-04,40.3
1980-04-05,45.4
1980-04-06,51.0
1980-04-07,56.1
1980-04-08,56.4
1980-04-09,41.3
1980-04-10,39.5
1980-04-11,48.0
1980-04-12,44.8
1980-04-13,40.5
1980-04-14,39.3
1980-04-15,38.1
1980-04-16,38.8
1980-04-17,45.6
1980-04-18,52.0
1980-04-19,56.2
1980-04-20,60.8
1980-04-21,58.1
1980-04-22,67.9
1980-04-23,52.7
1980-04-24,40.6
1980-04-25,42.6
1980-04-26,48.6
1980-04-27,47.5
1980-04-28,44.7
1980-04-29,50.6
1980-04-30,50.8
1980-05-01,53.8
1980-05-02,55.6
1980-05-03,60.9
1980-05-04,63.3
1980-05-05,66.9
1980-05-06,60.8
1980-05-07,49.3
1980-05-08,45.9
1980-05-09,50.3
1980-05-10,57.8
1980-05-11,61.8
1980-05-12,60.0
1980-05-13,63.0
1980-05-14,51.6
1980-05-15,55.2
1980-05-16,57.3
1980-05-17,59.7
1980-05-18,63.5
1980-05-19,60.6
1980-05-20,60.8
1980-05-21,62.7
1980-05-22,66.9
1980-05-23,67.2
1980-05-24,67.2
1980-05-25,69.5
1980-05-26,61.3
1980-05-27,62.7
1980-05-28,69.4
1980-05-29,74.8
1980-05-30,74.2
1980-05-31,69.2
1980-06-01,68.1
1980-06-02,71.9
1980-06-03,67.2
1980-06-04,63.7
1980-06-05,69.4
1980-06-06,77.5
1980-06-07,73.0
1980-06-08,57.0
1980-06-09,61.0
1980-06-10,54.0
1980-06-11,56.8
1980-06-12,62.1
1980-06-13,68.3
1980-06-14,72.8
1980-06-15,66.9
1980-06-16,57.1
1980-06-17,59.7
1980-06-18,64.5
1980-06-19,60.3
1980-06-20,59.8
1980-06-21,64.1
1980-06-22,68.9
1980-06-23,71.1
1980-06-24,71.2
1980-06-25,73.4
1980-06-26,76.7
1980-06-27,79.7
1980-06-28,77.5
1980-06-29,72.4
1980-06-30,65.4
1980-07-01,71.8
1980-07-02,76.1
1980-07-03,72.2
1980-07-04,74.0
1980-07-05,76.6
1980-07-06,68.1
1980-07-07,75.9
1980-07-08,81.1
1980-07-09,76.1
1980-07-10,75.0
1980-07-11,77.0
1980-07-12,76.9
1980-07-13,74.7
1980-07-14,78.6
1980-07-15,85.3
1980-07-16,82.4
1980-07-17,75.5
1980-07-18,77.8
1980-07-19,82.5
1980-07-20,84.1
1980-07-21,75.2
1980-07-22,71.8
1980-07-23,68.2
1980-07-24,69.7
1980-07-25,72.1
1980-07-26,74.5
1980-07-27,69.9
1980-07-28,68.9
1980-07-29,71.2
1980-07-30,72.2
1980-07-31,80.0
1980-08-01,77.8
1980-08-02,77.6
1980-08-03,72.9
1980-08-04,76.5
1980-08-05,75.2
1980-08-06,77.6
1980-08-07,80.9
1980-08-08,82.0
1980-08-09,78.2
1980-08-10,77.4
1980-08-11,72.8
1980-08-12,70.5
1980-08-13,72.6
1980-08-14,74.0
1980-08-15,70.8
1980-08-16,64.4
1980-08-17,70.8
1980-08-18,75.2
1980-08-19,77.6
1980-08-20,81.0
1980-08-21,77.1
1980-08-22,70.8
1980-08-23,69.2
1980-08-24,70.3
1980-08-25,72.7
1980-08-26,74.9
1980-08-27,76.8
1980-08-28,77.5
1980-08-29,75.0
1980-08-30,74.3
1980-08-31,77.0
1980-09-01,76.5
1980-09-02,70.9
1980-09-03,69.6
1980-09-04,74.5
1980-09-05,73.8
1980-09-06,72.3
1980-09-07,70.8
1980-09-08,73.3
1980-09-09,71.1
1980-09-10,62.0
1980-09-11,63.5
1980-09-12,67.5
1980-09-13,75.1
1980-09-14,69.1
1980-09-15,62.4
1980-09-16,65.9
1980-09-17,59.7
1980-09-18,60.5
1980-09-19,66.9
1980-09-20,74.0
1980-09-21,76.9
1980-09-22,74.3
1980-09-23,60.2
1980-09-24,59.6
1980-09-25,62.7
1980-09-26,51.6
1980-09-27,55.3
1980-09-28,60.1
1980-09-29,62.2
1980-09-30,65.4
1980-10-01,66.2
1980-10-02,56.3
1980-10-03,45.8
1980-10-04,44.5
1980-10-05,44.6
1980-10-06,50.1
1980-10-07,55.6
1980-10-08,63.0
1980-10-09,55.7
1980-10-10,57.4
1980-10-11,51.2
1980-10-12,45.6
1980-10-13,45.6
1980-10-14,56.3
1980-10-15,61.9
1980-10-16,66.4
1980-10-17,63.6
1980-10-18,52.9
1980-10-19,44.2
1980-10-20,50.5
1980-10-21,51.1
1980-10-22,47.1
1980-10-23,51.4
1980-10-24,51.0
1980-10-25,39.6
1980-10-26,35.9
1980-10-27,37.6
1980-10-28,37.6
1980-10-29,36.4
1980-10-30,38.0
1980-10-31,46.4
1980-11-01,41.5
1980-11-02,41.8
1980-11-03,55.9
1980-11-04,48.1
1980-11-05,39.7
1980-11-06,47.4
1980-11-07,55.8
1980-11-08,50.9
1980-11-09,56.5
1980-11-10,39.1
1980-11-11,34.2
1980-11-12,36.7
1980-11-13,51.6
1980-11-14,43.4
1980-11-15,36.8
1980-11-16,33.3
1980-11-17,32.1
1980-11-18,31.9
1980-11-19,31.6
1980-11-20,35.7
1980-11-21,35.4
1980-11-22,38.1
1980-11-23,41.4
1980-11-24,38.0
1980-11-25,30.7
1980-11-26,30.8
1980-11-27,33.1
1980-11-28,31.7
1980-11-29,33.7
1980-11-30,41.3
1980-12-01,50.2
1980-12-02,34.6
1980-12-03,25.9
1980-12-04,35.6
1980-12-05,46.5
1980-12-06,54.2
1980-12-07,56.8
1980-12-08,48.4
1980-12-09,35.2
1980-12-10,27.7
1980-12-11,27.9
1980-12-12,40.0
