date,price_per_galon
1978-01-01,0.631
1978-02-01,0.629
1978-03-01,0.629
1978-04-01,0.631
1978-05-01,0.637
1978-06-01,0.645
1978-07-01,0.655
1978-08-01,0.663
1978-09-01,0.669
1978-10-01,0.671
1978-11-01,0.676
1978-12-01,0.685
1979-01-01,0.695
1979-02-01,0.707
1979-03-01,0.733
1979-04-01,0.780
1979-05-01,0.823
1979-06-01,0.880
1979-07-01,0.930
1979-08-01,0.967
1979-09-01,0.998
1979-10-01,1.006
1979-11-01,1.019
1979-12-01,1.042
1980-01-01,1.110
1980-02-01,1.186
1980-03-01,1.230
1980-04-01,1.242
1980-05-01,1.244
1980-06-01,1.246
1980-07-01,1.247
1980-08-01,1.243
1980-09-01,1.231
1980-10-01,1.223
1980-11-01,1.222
1980-12-01,1.231
1981-01-01,1.269
1981-02-01,1.353
1981-03-01,1.388
1981-04-01,1.381
1981-05-01,1.370
1981-06-01,1.362
1981-07-01,1.353
1981-08-01,1.348
1981-09-01,1.358
1981-10-01,1.353
1981-11-01,1.351
1981-12-01,1.348
1982-01-01,1.341
1982-02-01,1.318
1982-03-01,1.268
1982-04-01,1.210
1982-05-01,1.224
1982-06-01,1.296
1982-07-01,1.318
1982-08-01,1.310
1982-09-01,1.292
1982-10-01,1.280
1982-11-01,1.268
1982-12-01,1.244
1983-01-01,1.214
1983-02-01,1.170
1983-03-01,1.135
1983-04-01,1.198
1983-05-01,1.243
1983-06-01,1.261
1983-07-01,1.272
1983-08-01,1.269
1983-09-01,1.257
1983-10-01,1.239
1983-11-01,1.224
1983-12-01,1.215
1984-01-01,1.200
1984-02-01,1.193
1984-03-01,1.194
1984-04-01,1.211
1984-05-01,1.221
1984-06-01,1.214
1984-07-01,1.197
1984-08-01,1.184
1984-09-01,1.189
1984-10-01,1.195
1984-11-01,1.193
1984-12-01,1.179
1985-01-01,1.145
1985-02-01,1.128
1985-03-01,1.155
1985-04-01,1.199
1985-05-01,1.223
1985-06-01,1.233
1985-07-01,1.233
1985-08-01,1.222
1985-09-01,1.209
1985-10-01,1.198
1985-11-01,1.201
1985-12-01,1.203
1986-01-01,1.190
1986-02-01,1.119
1986-03-01,0.983
1986-04-01,0.895
1986-05-01,0.927
1986-06-01,0.958
1986-07-01,0.895
1986-08-01,0.848
1986-09-01,0.864
1986-10-01,0.837
1986-11-01,0.827
1986-12-01,0.830
1987-01-01,0.868
1987-02-01,0.911
1987-03-01,0.918
1987-04-01,0.940
1987-05-01,0.948
1987-06-01,0.966
1987-07-01,0.980
1987-08-01,1.004
1987-09-01,1.000
1987-10-01,0.988
1987-11-01,0.987
1987-12-01,0.975
1988-01-01,0.947
1988-02-01,0.928
1988-03-01,0.920
1988-04-01,0.946
1988-05-01,0.970
1988-06-01,0.971
1988-07-01,0.984
1988-08-01,1.004
1988-09-01,0.992
1988-10-01,0.976
1988-11-01,0.972
1988-12-01,0.953
1989-01-01,0.944
1989-02-01,0.955
1989-03-01,0.974
1989-04-01,1.098
1989-05-01,1.152
1989-06-01,1.150
1989-07-01,1.132
1989-08-01,1.096
1989-09-01,1.073
1989-10-01,1.071
1989-11-01,1.046
1989-12-01,1.030
1990-01-01,1.090
1990-02-01,1.086
1990-03-01,1.076
1990-04-01,1.096
1990-05-01,1.114
1990-06-01,1.140
1990-07-01,1.139
1990-08-01,1.246
1990-09-01,1.347
1990-10-01,1.431
1990-11-01,1.432
1990-12-01,1.410
1991-01-01,1.304
1991-02-01,1.198
1991-03-01,1.138
1991-04-01,1.159
1991-05-01,1.209
1991-06-01,1.214
1991-07-01,1.185
1991-08-01,1.196
1991-09-01,1.199
1991-10-01,1.180
1991-11-01,1.193
1991-12-01,1.182
1992-01-01,1.135
1992-02-01,1.117
1992-03-01,1.122
